PG.ProteinGroups;PG.Genes;[1] MEP_mBM_500c_40.raw.PG.Quantity;[2] MEP_mBM_500c_41.raw.PG.Quantity;[3] MEP_mBM_500c_42.raw.PG.Quantity;[4] MEP_mBM_500c_43.raw.PG.Quantity
O89079;Cope;NaN;3232,334716796875;4185,39111328125;5745,62744140625
O89086;Rbm3;NaN;5537,3134765625;4969,794921875;7034,32568359375
O89110;Casp8;NaN;2514,992919921875;1170,9066162109375;1140,0509033203125
O89112;Lancl1;7070,33349609375;NaN;2464,59130859375;4760,353515625
P00329;Adh1;1437,615234375;NaN;NaN;NaN
P00375;Dhfr;NaN;NaN;910,476806640625;1412,858154296875
P00405;Mtco2;NaN;12817,958984375;12183,4453125;8283,8984375
P00493;Hprt1;3856,779052734375;25549,0546875;17557,658203125;29335,05078125
P00687;Amy1;56283,59765625;13269,7255859375;877,4777221679688;NaN
P00920;Ca2;14608,294921875;640126,875;528303,5625;802330,4375
P01027;C3;33076,41015625;12594,5224609375;12600,54296875;3868,11328125
P01629;;12241,1435546875;NaN;NaN;NaN
P01631;;97986,734375;3314,474609375;793,1521606445312;79,3454818725586
"P01632;P01634;P01657";"Igkv7-33;;";10397,896484375;986,297119140625;2397,031005859375;2721,2978515625
"P01723;P01726;P01727;P01728;P01729";;6839,44970703125;NaN;NaN;NaN
P01741;;714,1505126953125;224,57952880859375;NaN;NaN
"P01786;P01787;P01788;P01789;P01790;P01791;P01792;P01793;P01794";;4176,5908203125;46090,859375;2736,289306640625;563,6602783203125
P01795;;7774,9619140625;NaN;NaN;NaN
P01803;;4730,70263671875;NaN;NaN;NaN
P01831;Thy1;NaN;2541,5888671875;601,0626220703125;NaN
P01837;;NaN;550,5233154296875;1085,018310546875;NaN
"P01868;P01869";Ighg1;NaN;NaN;2381,7099609375;NaN
"P01872;P01872-2";Ighm;NaN;737,3253784179688;1231,8741455078125;1302,8701171875
P01899;H2-D1;NaN;370066,75;267821,5;305133,1875
P01902;H2-K1;6108,94921875;26029,16796875;2428,285888671875;2357,910888671875
P01942;Hba;172579,859375;1034417,5625;1026062,3125;1024342,875
P02088;Hbb-b1;13113,7255859375;1671977,625;2114362,25;1816265,375
"P02301;P68433;P84228;P84244";"H3f3c;Hist1h3a;Hist1h3b;H3f3a";114396,3125;14242,7060546875;10261,8564453125;12243,8369140625
P02463;Col4a1;36967,92578125;NaN;300,0285339355469;NaN
"P02535;P02535-2;P02535-3";Krt10;9121199;9680860;19124776;398755,25
P03921;Mtnd5;NaN;NaN;NaN;748,596435546875
P03930;Mtatp8;NaN;85463,859375;89847;117514,578125
P03958;Ada;1621,9752197265625;1863,6785888671875;842,830810546875;836,0048217773438
P04104;Krt1;1514940,5;416267,15625;1109094,5;13600,6943359375
P04247;Mb;NaN;NaN;54849,875;3198,368896484375
"P04370;P04370-10;P04370-11;P04370-13;P04370-14;P04370-4;P04370-5;P04370-6;P04370-7;P04370-8;P04370-9";Mbp;11632,158203125;330,7890625;4191,591796875;761,0811767578125
"P04441;P04441-2";Cd74;NaN;1220,6719970703125;1140,8394775390625;74,11576080322266
"P04443;P04444";"Hbb-bh0;Hbb-bh1";NaN;425,7022399902344;396,8160705566406;NaN
"P04627;P28028;P28028-2;Q99N57;Q99N57-2";"Araf;Braf;Braf;Raf1;Raf1";929,901123046875;NaN;NaN;NaN
"P04919;P04919-2";Slc4a1;NaN;16949,69921875;100899,203125;6535,029296875
P05063;Aldoc;8553,1669921875;2730,376708984375;NaN;NaN
P05064;Aldoa;542909,75;127854,0546875;287490,125;75310,5234375
P05201;Got1;37518,875;7820,21923828125;9215,7490234375;5717,0732421875
P05202;Got2;14936,28125;29790,205078125;34944,859375;32380,2421875
P05213;Tuba1b;436953,28125;381616,09375;332186,03125;465988,96875
P05480;Src;876,721923828125;NaN;NaN;NaN
"P05555;P05555-2";Itgam;1656,718994140625;20566,416015625;12465,056640625;6100,67822265625
P05784;Krt18;30175,107421875;2395,9912109375;NaN;NaN
P05977;Myl1;12932,7158203125;5304,23779296875;444101,75;13264,0087890625
P05977-2;Myl1;NaN;669,0821533203125;37773,23828125;880,7708740234375
P06151;Ldha;2622122,75;54387,43359375;65438,17578125;85622,65625
P06728;Apoa4;NaN;NaN;13360,0615234375;NaN
P06745;Gpi;12964,8203125;39360,57421875;40939,953125;33521,640625
"P06800;P06800-2;P06800-3";Ptprc;NaN;8836,041015625;4452,80615234375;2883,72900390625
P06801;Me1;11282,5;2340,711669921875;2256,13818359375;6,3284711837768555
P07214;Sparc;2736,99951171875;698,3200073242188;192,8842315673828;698,6900634765625
P07310;Ckm;14127,232421875;3749,729736328125;45336,0390625;4772,54345703125
P07356;Anxa2;560487,75;80657,03125;118254,34375;28116,07421875
P07607;Tyms;NaN;4416,38330078125;5157,44677734375;6639,029296875
P07724;Alb;31918,935546875;124155,890625;164649,21875;35573,390625
P07742;Rrm1;423,74786376953125;26808,14453125;25238,44921875;36353,64453125
P07744;Krt4;68265,5625;28295,4375;3509,302978515625;NaN
"P07758;Q00896";"Serpina1a;Serpina1c";NaN;1639,406982421875;20219,00390625;1079,09765625
P07759;Serpina3k;NaN;1844,9627685546875;8531,6689453125;583,7551879882812
P07901;Hsp90aa1;120162,2578125;233149,390625;197189,984375;374260,90625
P08003;Pdia4;22561,521484375;16042,1376953125;13747,07421875;17432,029296875
P08030;Aprt;10419,2119140625;11634,6845703125;8882,240234375;12222,9970703125
P08032;Spta1;NaN;13993,7041015625;97085,3359375;9608,7705078125
P08071;Ltf;134188,734375;146019,984375;81739,53125;51809,25390625
P08113;Hsp90b1;47755,05078125;49095,078125;43955,52734375;63624,09765625
P08121;Col3a1;NaN;21614,240234375;NaN;NaN
P08226;Apoe;NaN;NaN;2698,550537109375;1229,760009765625
P08228;Sod1;989,8131103515625;117765,28125;60061,38671875;84262,078125
P08249;Mdh2;116271,6015625;114208,6953125;128735,53125;151047,6875
P08551;Nefl;NaN;NaN;NaN;477,40008544921875
P08556;Nras;13422,19921875;2438,55419921875;1331,4390869140625;1816,055419921875
P08730;Krt13;479469,625;903945,75;150815,078125;54717,9140625
P08752;Gnai2;46943,53515625;12482,228515625;16576,173828125;5940,720703125
P09041;Pgk2;270,9039306640625;NaN;NaN;NaN
P09055;Itgb1;394,6517333984375;1150,764892578125;1227,3212890625;1660,048583984375
P09103;P4hb;227794,03125;86323,546875;60591,6953125;74303,328125
P09242;Alpl;14209,509765625;3930,316162109375;3828,711181640625;4270,4384765625
P09405;Ncl;14959,93359375;173229,796875;160743,453125;311556,0625
P09411;Pgk1;504906,46875;162041,046875;94261,234375;58812,74609375
P09528;Fth1;898,56787109375;82837,1328125;30305,501953125;22159,6171875
P09542;Myl3;5352,25390625;NaN;1835,5462646484375;NaN
P09671;Sod2;3113,9521484375;NaN;3165,47509765625;2959,212646484375
"P0C027;P0C028;Q8R2U6";"Nudt10;Nudt11;Nudt4";NaN;211,3547821044922;332,46734619140625;NaN
P0C0A3;Chmp6;5136,38671875;NaN;326,4616394042969;NaN
"P0C0S6;Q3THW5";"H2afz;H2afv";12324,458984375;121710,8359375;79814,2734375;52140,2890625
P0C871;Pla2g4b;3287,40087890625;NaN;NaN;NaN
P0C872;Jmjd7;4192,23046875;NaN;NaN;NaN
"P0CG49;P0CG50;P62983;P62984";"Ubb;Ubc;Rps27a;Uba52";98919,7734375;220031,5625;190966,296875;176052,375
"P0DP26;P0DP27;P0DP28";"Calm1;Calm2;Calm3";16972,546875;46201,6953125;29610,6953125;31639,52734375
P10107;Anxa1;1661568,25;139416,71875;84263,9921875;62586,546875
P10126;Eef1a1;520767,15625;940716,5625;784946,5625;1112031,875
P10287;Cdh3;NaN;49001,4296875;8862,376953125;2036,9971923828125
"P10404;P11370";";Fv4";NaN;803,1657104492188;1006,5014038085938;994,8282470703125
P10493;Nid1;NaN;NaN;590,160400390625;NaN
P10518;Alad;16472,00390625;103358,4453125;76194,1328125;81710,25
P10605;Ctsb;NaN;37799,2265625;27935,203125;17816,421875
P10639;Txn;63474,73828125;149379;97861,078125;110955,59375
P10649;Gstm1;NaN;16278,6103515625;10726,3779296875;6006,599609375
P10711;Tcea1;NaN;2488,1611328125;3543,595458984375;5901,5263671875
"P10852;P10852-2";Slc3a2;NaN;10959,9404296875;8697,462890625;7636,39794921875
