PG.ProteinGroups,PG.Genes,[1] MEP_mBM_500c_40.raw.PG.Quantity,[2] MEP_mBM_500c_41.raw.PG.Quantity,[3] MEP_mBM_500c_42.raw.PG.Quantity,[4] MEP_mBM_500c_43.raw.PG.Quantity
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,Hist1h2ab;Hist1h2ac;Hist1h2ad;Hist1h2ae;Hist1h2ag;Hist1h2ai;Hist1h2an;Hist1h2ao;Hist1h2ap;Hist3h2a;Hist1h2af;Hist1h2ah;Hist1h2ak;H2afj,"6,044,451,875","4,665,488,125","826711,5",934928
D0QMC3,Mndal,NaN,NaN,"1,871,522,705,078,120","207,369,580,078,125"
D3YZF7,Vsig10l,"62,093,017,578,125",NaN,NaN,NaN
D3YZP9,Ccdc6,"606,538,623,046,875",NaN,NaN,"6,226,044,921,875"
D3Z6Q9,Bin2,"2,253,489,990,234,370","1,528,042,578,125","614,839,599,609,375","1,397,953,515,625"
E9PV24;E9PV24-2,Fga,NaN,NaN,"716325,75","102,376,796,875"
E9PVA8,Gcn1,"3,918,528,564,453,120","361,325,830,078,125","32,781,943,359,375","476,572,265,625"
E9PVX6,Mki67,"27,582,109,375","127,839,013,671,875","10,365,232,421,875","147,563,486,328,125"
E9PZQ0,Ryr1,NaN,NaN,"61,929,404,296,875",NaN
E9Q3E1,Aldh3b2,"62,631,416,015,625",NaN,NaN,NaN
E9Q555,Rnf213,NaN,"31,784,599,609,375","21,291,142,578,125","328,920,751,953,125"
E9Q557,Dsp,"30,375,903,125","5,678,839,453,125","140,371,390,625","5,103,845,703,125"
E9Q5C9;E9Q5C9-2,Nolc1,"110,300,439,453,125","13,144,896,484,375","96,344,365,234,375","151,293,115,234,375"
E9Q5K9;E9Q5K9-2;E9Q5K9-3,Ythdc1,"4,584,110,107,421,870",NaN,NaN,NaN
E9Q7G0,Numa1,NaN,"688,743,701,171,875","62,931,982,421,875","60,330,986,328,125"
F6ZDS4,Tpr,"520,614,306,640,625","557,638,037,109,375","558,616,162,109,375","632,795,751,953,125"
G3X9C2,Nccrp1,"91,585,296,875","3,997,643,359,375","25,021,205,078,125","1,750,923,828,125"
G5E829;Q6Q477;Q6Q477-2;Q9R0K7,Atp2b1;Atp2b4;Atp2b4;Atp2b2,"19,847,802,734,375","8,296,859,130,859,370","11,593,182,373,046,800","82,571,435,546,875"
G5E870,Trip12,"1,664,216,552,734,370",NaN,"12,133,668,212,890,600","11,267,467,041,015,600"
G5E8K5;G5E8K5-2;G5E8K5-3,Ank3,"14,479,766,845,703,100",NaN,NaN,NaN
O08529,Capn2,"209,039,296,875",NaN,NaN,NaN
O08532;O08532-2;O08532-3;O08532-4;O08532-5,Cacna2d1,"10,788,948,974,609,300",NaN,NaN,NaN
O08538,Angpt1,"2,519,198,455,810,540",NaN,NaN,NaN
O08547,Sec22b,"79,373,369,140,625","1,006,515,625","11,087,408,203,125","94,469,462,890,625"
O08553,Dpysl2,"7,237,259,765,625","591,972,900,390,625","575,785,595,703,125","463,970,458,984,375"
O08573;O08573-2;O08573-3,Lgals9,NaN,"84,081,552,734,375","720,815,087,890,625","162,924,619,140,625"
O08579,Emd,NaN,"52,967,529,296,875","533,248,681,640,625","5,788,103,515,625"
O08582,Gtpbp1,"120,932,138,671,875","693,639,794,921,875","3,656,602,783,203,120","548,852,001,953,125"
O08583;O08583-2,Alyref,"95,002,109,375","22,733,958,984,375","14,531,111,328,125","137,120,947,265,625"
O08599;O08599-2,Stxbp1,"17,418,822,021,484,300","1,172,201,416,015,620","91,367,626,953,125","9,719,689,331,054,680"
